,x,y,z,,,,,,,,,,,,,,,,,,119.0466667,278.59,235.61
91,2.61,-6.903333333,7.003333333,,,0.126666667,0.51,1.18,0.126666667,0.51,1.18,,,,,,0.126666667,0.51,1.18,,0.126666667,0.51,1.18
92,2.79,-7.57,6.58,,,0.18,0.666666667,0.423333333,0.18,-0.666666667,-0.423333333,,,,,,0.18,-0.666666667,-0.423333333,,0.18,0.666666667,0.423333333
93,3.296666667,-8.153333333,7.456666667,,,0.506666667,0.583333333,0.876666667,0.506666667,-0.583333333,0.876666667,,,,,,0.506666667,-0.583333333,0.876666667,,0.506666667,0.583333333,0.876666667
94,3.146666667,-8.246666667,6.763333333,,,0.15,0.093333334,0.693333334,-0.15,-0.093333334,-0.693333334,,,,,,-0.15,-0.093333334,-0.693333334,,0.15,0.093333334,0.693333334
95,2.993333333,-7.523333333,6.203333333,,,0.153333334,0.723333334,0.56,-0.153333334,0.723333334,-0.56,,,,,,-0.153333334,0.723333334,-0.56,,0.153333334,0.723333334,0.56
96,2.603333333,-7.44,6.406666667,,,0.39,0.083333333,0.203333334,-0.39,0.083333333,0.203333334,,,,,,-0.39,0.083333333,0.203333334,,0.39,0.083333333,0.203333334
97,2.533333333,-8.436666667,6.64,,,0.07,0.996666667,0.233333333,-0.07,-0.996666667,0.233333333,,,,,,-0.07,-0.996666667,0.233333333,,0.07,0.996666667,0.233333333
98,2.583333333,-8.173333333,6.65,,,0.05,0.263333334,0.01,0.05,0.263333334,0.01,,,,,,0.05,0.263333334,0.01,,0.05,0.263333334,0.01
99,2.673333333,-7.646666667,6.426666667,,,0.09,0.526666666,0.223333333,0.09,0.526666666,-0.223333333,,,,,,0.09,0.526666666,-0.223333333,,0.09,0.526666666,0.223333333
100,2.763333333,-6.933333333,5.15,,,0.09,0.713333334,1.276666667,0.09,0.713333334,-1.276666667,,,,,,0.09,0.713333334,-1.276666667,,0.09,0.713333334,1.276666667
101,2.776666667,-7.303333333,6.24,,,0.013333334,0.37,1.09,0.013333334,-0.37,1.09,,,,,,0.013333334,-0.37,1.09,,0.013333334,0.37,1.09
102,2.906666667,-8.353333333,6.343333333,,,0.13,1.05,0.103333333,0.13,-1.05,0.103333333,,,,,,0.13,-1.05,0.103333333,,0.13,1.05,0.103333333
103,3.06,-8.476666667,7.113333333,,,0.153333333,0.123333334,0.77,0.153333333,-0.123333334,0.77,,,,,,0.153333333,-0.123333334,0.77,,0.153333333,0.123333334,0.77
104,2.663333333,-7.983333333,6.88,,,0.396666667,0.493333334,0.233333333,-0.396666667,0.493333334,-0.233333333,,,,,,-0.396666667,0.493333334,-0.233333333,,0.396666667,0.493333334,0.233333333
105,2.493333333,-6.886666667,5.95,,,0.17,1.096666666,0.93,-0.17,1.096666666,-0.93,,,,,,-0.17,1.096666666,-0.93,,0.17,1.096666666,0.93
106,2,-6.86,6.556666667,,,0.493333333,0.026666667,0.606666667,-0.493333333,0.026666667,0.606666667,,,,,,-0.493333333,0.026666667,0.606666667,,0.493333333,0.026666667,0.606666667
107,2.47,-7.826666667,6.513333333,,,0.47,0.966666667,0.043333334,0.47,-0.966666667,-0.043333334,,,,,,0.47,-0.966666667,-0.043333334,,0.47,0.966666667,0.043333334
108,2.58,-8.756666667,6.88,,,0.11,0.93,0.366666667,0.11,-0.93,0.366666667,,,,,,0.11,-0.93,0.366666667,,0.11,0.93,0.366666667
109,2.856666667,-8.43,6.726666667,,,0.276666667,0.326666667,0.153333333,0.276666667,0.326666667,-0.153333333,,,,,,0.276666667,0.326666667,-0.153333333,,0.276666667,0.326666667,0.153333333
110,2.806666667,-7.253333333,5.63,,,0.05,1.176666667,1.096666667,-0.05,1.176666667,-1.096666667,,,,,,-0.05,1.176666667,-1.096666667,,0.05,1.176666667,1.096666667
111,2.693333333,-6.67,6.41,,,0.113333334,0.583333333,0.78,-0.113333334,0.583333333,0.78,,,,,,-0.113333334,0.583333333,0.78,,0.113333334,0.583333333,0.78
112,2.686666667,-7.776666667,5.776666667,,,0.006666666,1.106666667,0.633333333,-0.006666666,-1.106666667,-0.633333333,,,,,,-0.006666666,-1.106666667,-0.633333333,,0.006666666,1.106666667,0.633333333
113,3.046666667,-8.64,7.073333333,,,0.36,0.863333333,1.296666666,0.36,-0.863333333,1.296666666,,,,,,0.36,-0.863333333,1.296666666,,0.36,0.863333333,1.296666666
114,3.14,-8.806666667,7.316666667,,,0.093333333,0.166666667,0.243333334,0.093333333,-0.166666667,0.243333334,,,,,,0.093333333,-0.166666667,0.243333334,,0.093333333,0.166666667,0.243333334
